transaction_id,authorisation_id,card_id,product_id,transaction_datetime,settlement_date,transaction_type,merchant_id,mcc_code,transaction_amount,currency,interchange_amount,scheme_fee_amount,processor_fee_amount,net_settlement_amount,transaction_status
TXN-000000021,AUTH-000000025,CARD-0000005,PRD-00001,2025-08-26 09:05:33,2025-08-27,Refund,MER-5411-8259,5411,-88.45,GBP,1.5663,0.0855,0.0539,-88.45,Settled
TXN-000000022,AUTH-000000026,CARD-0000030,PRD-00001,2025-08-27 11:16:40,2025-08-27,Refund,MER-6051-6516,6051,-27.01,GBP,0.1154,0.0415,0.0506,-27.01,Settled
TXN-000000023,AUTH-000000028,CARD-0000049,PRD-00001,2025-08-28 08:15:57,2025-08-28,Purchase,MER-4511-7355,4511,85.34,GBP,1.3716,0.1703,0.1136,83.68,Settled
TXN-000000024,AUTH-000000029,CARD-0000012,PRD-00001,2025-08-28 09:37:16,2025-08-28,Purchase,MER-7832-9582,7832,69.78,GBP,0.3956,0.1006,0.0864,69.2,Settled
TXN-000000025,AUTH-000000030,CARD-0000057,PRD-00001,2025-08-29 20:29:41,2025-08-31,Purchase,MER-5200-4423,5200,101.67,GBP,0.8414,0.1549,0.1318,100.54,Settled
TXN-000000026,AUTH-000000031,CARD-0000041,PRD-00001,2025-08-29 20:12:30,2025-08-30,Purchase,MER-5541-4915,5541,105.36,GBP,0.2758,0.1865,0.0825,104.82,Settled
TXN-000000027,AUTH-000000032,CARD-0000035,PRD-00001,2025-08-30 17:03:33,2025-08-31,Purchase,MER-6051-6516,6051,90.85,GBP,0.5222,0.0868,0.037,90.2,Settled
TXN-000000028,AUTH-000000033,CARD-0000050,PRD-00001,2025-08-30 15:00:28,2025-08-31,Purchase,MER-5200-5853,5200,47.52,GBP,0.623,0.0802,0.06,46.76,Settled
TXN-000000029,AUTH-000000034,CARD-0000059,PRD-00001,2025-09-01 06:21:30,2025-09-01,Purchase,MER-7832-9582,7832,47.04,GBP,0.7112,0.0945,0.0664,46.17,Settled
TXN-000000030,AUTH-000000035,CARD-0000048,PRD-00001,2025-09-01 21:27:16,2025-09-02,Purchase,MER-8220-1093,8220,231.35,GBP,0.8971,0.5385,0.0303,229.88,Settled
TXN-000000031,AUTH-000000037,CARD-0000013,PRD-00001,2025-09-01 11:48:54,2025-09-03,Purchase,MER-5999-9885,5999,57.37,GBP,0.9339,0.1386,0.1026,56.19,Settled
TXN-000000032,AUTH-000000038,CARD-0000017,PRD-00001,2025-09-02 07:24:20,2025-09-02,Purchase,MER-8220-6692,8220,76.1,GBP,0.7293,0.2269,0.0982,75.05,Settled
TXN-000000033,AUTH-000000039,CARD-0000104,PRD-00001,2025-09-02 01:24:44,2025-09-02,Purchase,MER-5541-2498,5541,193.98,GBP,2.4363,0.197,0.0219,191.32,Settled
TXN-000000034,AUTH-000000041,CARD-0000098,PRD-00001,2025-09-02 03:45:07,2025-09-03,Purchase,MER-7011-2627,7011,22.95,GBP,0.3907,0.0403,0.1048,22.41,Settled
TXN-000000035,AUTH-000000042,CARD-0000120,PRD-00001,2025-09-03 15:56:12,2025-09-04,Purchase,MER-6051-3440,6051,46.57,GBP,0.3953,0.0319,0.0389,46.1,Settled
TXN-000000036,AUTH-000000043,CARD-0000123,PRD-00001,2025-09-03 12:14:24,2025-09-03,Purchase,MER-4814-5844,4814,92.79,GBP,1.025,0.0669,0.1341,91.56,Settled
TXN-000000037,AUTH-000000044,CARD-0000082,PRD-00001,2025-09-03 02:10:13,2025-09-04,Purchase,MER-5732-3674,5732,41.54,GBP,0.3292,0.1139,0.1266,40.97,Settled
TXN-000000038,AUTH-000000045,CARD-0000004,PRD-00001,2025-09-04 21:53:17,2025-09-06,Purchase,MER-8220-1093,8220,214.6,GBP,0.9271,0.3748,0.1134,213.18,Settled
TXN-000000039,AUTH-000000049,CARD-0000059,PRD-00001,2025-09-05 02:03:44,2025-09-06,Purchase,MER-7011-3492,7011,48.94,GBP,0.7122,0.1235,0.0368,48.07,Settled
TXN-000000040,AUTH-000000050,CARD-0000113,PRD-00001,2025-09-06 05:59:23,2025-09-08,Purchase,MER-8011-1419,8011,268.89,GBP,2.9462,0.5294,0.024,265.39,Settled
TXN-000000041,AUTH-000000051,CARD-0000025,PRD-00001,2025-09-06 10:55:41,2025-09-08,Purchase,MER-6051-6516,6051,61.93,GBP,0.546,0.0861,0.093,61.2,Settled
TXN-000000042,AUTH-000000052,CARD-0000050,PRD-00001,2025-09-08 10:51:50,2025-09-08,Purchase,MER-5964-8191,5964,182.28,GBP,0.702,0.4857,0.1258,180.97,Settled
TXN-000000043,AUTH-000000053,CARD-0000053,PRD-00001,2025-09-09 13:17:17,2025-09-09,Purchase,MER-5541-2498,5541,57.66,GBP,0.8497,0.1398,0.0312,56.64,Settled
TXN-000000044,AUTH-000000054,CARD-0000108,PRD-00001,2025-09-10 09:35:31,2025-09-11,Purchase,MER-5964-8191,5964,19.94,GBP,0.2934,0.052,0.0669,19.53,Settled
TXN-000000045,AUTH-000000060,CARD-0000033,PRD-00001,2025-09-14 12:30:04,2025-09-16,Purchase,MER-4900-7182,4900,65.34,GBP,1.164,0.1177,0.11,63.95,Settled
TXN-000000046,AUTH-000000061,CARD-0000026,PRD-00001,2025-09-15 16:01:00,2025-09-16,Purchase,MER-5812-8504,5812,117.79,GBP,0.7166,0.1719,0.0516,116.85,Settled
TXN-000000047,AUTH-000000063,CARD-0000103,PRD-00001,2025-09-15 00:32:05,2025-09-17,ATM Withdrawal,MER-6011-9644,6011,91.53,GBP,1.0362,0.1603,0.0201,90.31,Settled
TXN-000000048,AUTH-000000064,CARD-0000092,PRD-00001,2025-09-17 15:40:46,2025-09-17,Purchase,MER-5732-2321,5732,75.15,GBP,1.0797,0.1043,0.0554,73.91,Settled
TXN-000000049,AUTH-000000065,CARD-0000062,PRD-00001,2025-09-17 05:54:48,2025-09-17,ATM Withdrawal,MER-6011-5763,6011,464.19,GBP,4.832,0.2694,0.1088,458.98,Settled
TXN-000000050,AUTH-000000066,CARD-0000084,PRD-00001,2025-09-17 10:14:37,2025-09-18,Purchase,MER-7832-7947,7832,191.52,GBP,2.7546,0.1045,0.1028,188.56,Settled
TXN-000000051,AUTH-000000071,CARD-0000061,PRD-00001,2025-09-19 00:15:56,2025-09-21,Purchase,MER-5411-6841,5411,49.26,GBP,0.6282,0.0814,0.0293,48.52,Settled
TXN-000000052,AUTH-000000072,CARD-0000060,PRD-00001,2025-09-20 06:06:55,2025-09-20,Purchase,MER-5200-5853,5200,91.52,GBP,0.2636,0.1202,0.1297,91.01,Settled
TXN-000000053,AUTH-000000073,CARD-0000024,PRD-00001,2025-09-20 21:32:19,2025-09-21,Purchase,MER-5311-2389,5311,303.55,GBP,3.87,0.5912,0.0793,299.01,Settled
TXN-000000054,AUTH-000000074,CARD-0000050,PRD-00001,2025-09-20 12:06:25,2025-09-22,Purchase,MER-4900-9233,4900,44.12,GBP,0.2765,0.0323,0.1067,43.7,Settled
TXN-000000055,AUTH-000000075,CARD-0000003,PRD-00001,2025-09-21 13:39:13,2025-09-22,Purchase,MER-5732-2321,5732,296.28,GBP,1.9137,0.1908,0.106,294.07,Settled
TXN-000000056,AUTH-000000076,CARD-0000109,PRD-00001,2025-09-21 09:12:22,2025-09-21,Purchase,MER-5411-1932,5411,16.67,GBP,0.0624,0.0384,0.114,16.46,Settled
TXN-000000057,AUTH-000000077,CARD-0000018,PRD-00001,2025-09-21 07:28:36,2025-09-22,Purchase,MER-5541-8568,5541,19.16,GBP,0.2203,0.0377,0.1395,18.76,Settled
TXN-000000058,AUTH-000000078,CARD-0000040,PRD-00001,2025-09-21 17:52:04,2025-09-22,Purchase,MER-5734-9401,5734,244.66,GBP,4.2607,0.2821,0.0381,240.08,Settled
TXN-000000059,AUTH-000000079,CARD-0000017,PRD-00001,2025-09-22 03:29:48,2025-09-24,Purchase,MER-5812-3477,5812,312.65,GBP,1.5587,0.2798,0.0224,310.79,Settled
TXN-000000060,AUTH-000000080,CARD-0000010,PRD-00001,2025-09-23 05:30:16,2025-09-25,Purchase,MER-4814-5844,4814,266.09,GBP,2.9404,0.69,0.0682,262.39,Settled
TXN-000000061,AUTH-000000081,CARD-0000067,PRD-00001,2025-09-23 11:44:00,2025-09-25,Purchase,MER-5651-2066,5651,10.12,GBP,0.1334,0.0105,0.1114,9.86,Settled
TXN-000000062,AUTH-000000082,CARD-0000118,PRD-00001,2025-09-24 02:44:07,2025-09-25,Purchase,MER-7832-7947,7832,83.83,GBP,0.8132,0.0605,0.0559,82.9,Settled
TXN-000000063,AUTH-000000084,CARD-0000020,PRD-00001,2025-09-25 22:38:57,2025-09-26,Purchase,MER-6051-3440,6051,9.6,GBP,0.1456,0.024,0.0401,9.39,Settled
TXN-000000064,AUTH-000000085,CARD-0000026,PRD-00001,2025-09-26 09:44:17,2025-09-27,Purchase,MER-5541-2498,5541,79.19,GBP,0.2288,0.2203,0.0356,78.71,Settled
TXN-000000065,AUTH-000000087,CARD-0000001,PRD-00001,2025-09-26 18:14:21,2025-09-28,Purchase,MER-4511-7355,4511,30.17,GBP,0.4008,0.0638,0.0785,29.63,Settled
TXN-000000066,AUTH-000000088,CARD-0000119,PRD-00001,2025-09-26 12:34:32,2025-09-27,Purchase,MER-4511-7355,4511,285.53,GBP,0.7481,0.7098,0.1328,283.94,Settled
TXN-000000067,AUTH-000000089,CARD-0000045,PRD-00001,2025-09-27 13:25:20,2025-09-28,Purchase,MER-6051-3440,6051,38.04,GBP,0.4355,0.1097,0.0651,37.43,Settled
TXN-000000068,AUTH-000000090,CARD-0000052,PRD-00001,2025-09-27 13:10:14,2025-09-28,Purchase,MER-4121-2373,4121,373.39,GBP,4.3258,0.8302,0.0839,368.15,Settled
TXN-000000069,AUTH-000000091,CARD-0000080,PRD-00001,2025-09-27 04:19:37,2025-09-28,Purchase,MER-5734-9156,5734,56.17,GBP,0.6608,0.1582,0.0666,55.28,Settled
TXN-000000070,AUTH-000000092,CARD-0000091,PRD-00001,2025-09-28 13:04:15,2025-09-29,Purchase,MER-4814-5844,4814,81.1,GBP,0.4797,0.0982,0.0778,80.44,Settled
TXN-000000071,AUTH-000000093,CARD-0000072,PRD-00001,2025-09-28 05:25:08,2025-09-29,Purchase,MER-5999-9885,5999,25.31,GBP,0.4049,0.0522,0.0483,24.8,Settled
TXN-000000072,AUTH-000000094,CARD-0000064,PRD-00001,2025-09-29 07:33:28,2025-09-29,Reversal,MER-4900-9233,4900,121.7,GBP,0.588,0.0694,0.0432,121.0,Reversed
TXN-000000073,AUTH-000000097,CARD-0000037,PRD-00001,2025-10-01 10:15:14,2025-10-01,Purchase,MER-5732-3674,5732,111.94,GBP,1.3014,0.1024,0.0651,110.47,Settled
TXN-000000074,AUTH-000000098,CARD-0000044,PRD-00001,2025-10-01 12:36:19,2025-10-01,Purchase,MER-7832-9582,7832,53.12,GBP,0.4627,0.0994,0.0803,52.48,Settled
TXN-000000075,AUTH-000000099,CARD-0000027,PRD-00001,2025-10-02 12:15:39,2025-10-03,Refund,MER-5734-2587,5734,-94.9,GBP,0.5482,0.0964,0.0877,-94.9,Settled
TXN-000000076,AUTH-000000100,CARD-0000157,PRD-00001,2025-10-02 13:31:53,2025-10-04,Purchase,MER-5651-4855,5651,34.98,GBP,0.2018,0.0903,0.0888,34.6,Settled
TXN-000000077,AUTH-000000101,CARD-0000156,PRD-00001,2025-10-02 08:15:34,2025-10-04,Purchase,MER-4121-5773,4121,271.19,GBP,3.4782,0.6001,0.1495,266.96,Settled
TXN-000000078,AUTH-000000103,CARD-0000172,PRD-00001,2025-10-03 19:57:11,2025-10-05,Purchase,MER-5732-2321,5732,70.59,GBP,1.108,0.0689,0.0975,69.32,Settled
TXN-000000079,AUTH-000000104,CARD-0000120,PRD-00001,2025-10-03 09:28:04,2025-10-03,Purchase,MER-8220-1093,8220,25.7,GBP,0.3988,0.05,0.0813,25.17,Settled
TXN-000000080,AUTH-000000105,CARD-0000173,PRD-00001,2025-10-03 15:30:26,2025-10-03,Purchase,MER-4900-9383,4900,102.49,GBP,1.4918,0.2293,0.0282,100.74,Settled
TXN-000000081,AUTH-000000106,CARD-0000106,PRD-00001,2025-10-03 10:07:31,2025-10-05,Purchase,MER-4900-7182,4900,129.77,GBP,1.306,0.3816,0.0775,128.0,Settled
TXN-000000082,AUTH-000000107,CARD-0000161,PRD-00001,2025-10-04 04:55:27,2025-10-05,Purchase,MER-4511-6984,4511,53.07,GBP,0.6277,0.134,0.035,52.27,Settled
TXN-000000083,AUTH-000000108,CARD-0000119,PRD-00001,2025-10-04 01:12:38,2025-10-05,Purchase,MER-5732-3674,5732,40.38,GBP,0.6463,0.0933,0.0909,39.55,Settled
TXN-000000084,AUTH-000000109,CARD-0000149,PRD-00001,2025-10-04 18:05:08,2025-10-04,Purchase,MER-5541-8568,5541,19.44,GBP,0.0695,0.0213,0.108,19.24,Settled
TXN-000000085,AUTH-000000110,CARD-0000150,PRD-00001,2025-10-04 08:55:17,2025-10-04,ATM Withdrawal,MER-6011-5763,6011,61.59,GBP,0.4025,0.1706,0.139,60.88,Settled
TXN-000000086,AUTH-000000111,CARD-0000176,PRD-00001,2025-10-04 08:51:50,2025-10-06,Purchase,MER-7832-7947,7832,679.76,GBP,1.9558,1.8346,0.0797,675.89,Settled
TXN-000000087,AUTH-000000112,CARD-0000164,PRD-00001,2025-10-05 02:59:16,2025-10-07,Purchase,MER-5734-9156,5734,39.33,GBP,0.5382,0.0636,0.0308,38.7,Settled
TXN-000000088,AUTH-000000113,CARD-0000131,PRD-00001,2025-10-05 18:53:31,2025-10-07,Purchase,MER-5411-3745,5411,55.82,GBP,0.5086,0.0868,0.0727,55.15,Settled
TXN-000000089,AUTH-000000114,CARD-0000073,PRD-00001,2025-10-05 10:06:18,2025-10-05,Purchase,MER-7011-2627,7011,33.68,GBP,0.4327,0.0481,0.0811,33.12,Settled
TXN-000000090,AUTH-000000115,CARD-0000086,PRD-00001,2025-10-06 16:56:03,2025-10-07,Purchase,MER-5812-8517,5812,68.72,GBP,1.0253,0.1525,0.1121,67.43,Settled
TXN-000000091,AUTH-000000116,CARD-0000070,PRD-00001,2025-10-06 11:53:48,2025-10-06,Purchase,MER-7011-2627,7011,52.75,GBP,0.6264,0.0756,0.0897,51.96,Settled
TXN-000000092,AUTH-000000117,CARD-0000130,PRD-00001,2025-10-06 13:30:04,2025-10-07,Refund,MER-5200-5853,5200,-315.5,GBP,1.7163,0.4608,0.0251,-315.5,Settled
TXN-000000093,AUTH-000000118,CARD-0000172,PRD-00001,2025-10-06 02:55:26,2025-10-07,Purchase,MER-5541-8321,5541,72.73,GBP,1.1608,0.0873,0.0771,71.4,Settled
TXN-000000094,AUTH-000000120,CARD-0000104,PRD-00001,2025-10-08 01:21:35,2025-10-09,Purchase,MER-5964-8191,5964,133.73,GBP,2.0519,0.3524,0.0394,131.29,Settled
TXN-000000095,AUTH-000000121,CARD-0000118,PRD-00001,2025-10-08 21:15:59,2025-10-09,Reversal,MER-5734-9401,5734,23.58,GBP,0.1563,0.0326,0.1423,23.25,Reversed
TXN-000000096,AUTH-000000122,CARD-0000005,PRD-00001,2025-10-08 02:58:19,2025-10-08,Purchase,MER-8011-1419,8011,53.9,GBP,0.1165,0.0942,0.0229,53.67,Settled
TXN-000000097,AUTH-000000124,CARD-0000002,PRD-00001,2025-10-10 10:00:35,2025-10-10,Purchase,MER-5411-6841,5411,31.08,GBP,0.0723,0.0755,0.1195,30.81,Settled
TXN-000000098,AUTH-000000126,CARD-0000101,PRD-00001,2025-10-11 16:50:31,2025-10-13,Purchase,MER-5200-5853,5200,479.49,GBP,3.3322,0.5303,0.0703,475.56,Settled
TXN-000000099,AUTH-000000128,CARD-0000066,PRD-00001,2025-10-12 17:51:49,2025-10-14,Purchase,MER-5541-8321,5541,69.79,GBP,0.3571,0.1266,0.0399,69.27,Settled
TXN-000000100,AUTH-000000129,CARD-0000091,PRD-00001,2025-10-12 08:19:44,2025-10-13,Purchase,MER-6051-3440,6051,77.75,GBP,0.4182,0.0721,0.0949,77.16,Settled
TXN-000000101,AUTH-000000130,CARD-0000130,PRD-00001,2025-10-12 20:30:22,2025-10-14,Refund,MER-4814-8963,4814,-54.45,GBP,0.3794,0.1446,0.1146,-54.45,Settled
TXN-000000102,AUTH-000000131,CARD-0000025,PRD-00001,2025-10-13 11:08:28,2025-10-13,Purchase,MER-5812-8517,5812,79.66,GBP,0.8146,0.1287,0.1099,78.61,Settled
TXN-000000103,AUTH-000000134,CARD-0000043,PRD-00001,2025-10-14 15:27:57,2025-10-16,Purchase,MER-5311-2389,5311,20.12,GBP,0.2327,0.0175,0.1233,19.75,Settled
TXN-000000104,AUTH-000000135,CARD-0000130,PRD-00001,2025-10-14 13:50:41,2025-10-14,Purchase,MER-5311-2389,5311,85.67,GBP,0.3036,0.1368,0.0719,85.16,Settled
TXN-000000105,AUTH-000000136,CARD-0000099,PRD-00001,2025-10-15 06:28:11,2025-10-16,Purchase,MER-4900-9383,4900,87.55,GBP,1.3059,0.1638,0.0276,86.05,Settled
TXN-000000106,AUTH-000000138,CARD-0000052,PRD-00001,2025-10-16 08:59:31,2025-10-17,Purchase,MER-5999-6712,5999,26.06,GBP,0.3145,0.0692,0.1167,25.56,Settled
TXN-000000107,AUTH-000000139,CARD-0000052,PRD-00001,2025-10-16 15:50:22,2025-10-16,Purchase,MER-7011-3492,7011,55.25,GBP,0.5873,0.1502,0.06,54.45,Settled
TXN-000000108,AUTH-000000140,CARD-0000014,PRD-00001,2025-10-17 16:47:08,2025-10-18,Purchase,MER-5812-3730,5812,321.92,GBP,5.0905,0.3905,0.0942,316.34,Settled
TXN-000000109,AUTH-000000142,CARD-0000133,PRD-00001,2025-10-17 16:29:13,2025-10-17,Purchase,MER-5732-3674,5732,100.66,GBP,0.803,0.282,0.0807,99.49,Settled
TXN-000000110,AUTH-000000143,CARD-0000139,PRD-00001,2025-10-18 09:16:01,2025-10-19,Purchase,MER-5964-1976,5964,22.78,GBP,0.0842,0.0562,0.0612,22.58,Settled
TXN-000000111,AUTH-000000144,CARD-0000149,PRD-00001,2025-10-18 05:53:43,2025-10-19,Purchase,MER-5999-9885,5999,46.96,GBP,0.1397,0.0547,0.1238,46.64,Settled
TXN-000000112,AUTH-000000145,CARD-0000042,PRD-00001,2025-10-19 14:49:12,2025-10-21,Purchase,MER-8220-6692,8220,109.78,GBP,0.4135,0.2396,0.1279,109.0,Settled
TXN-000000113,AUTH-000000146,CARD-0000169,PRD-00001,2025-10-20 14:16:39,2025-10-21,Purchase,MER-5651-4855,5651,464.79,GBP,6.9818,1.0491,0.0572,456.7,Settled
TXN-000000114,AUTH-000000147,CARD-0000129,PRD-00001,2025-10-20 06:31:12,2025-10-21,Purchase,MER-5411-1932,5411,38.66,GBP,0.5814,0.0938,0.074,37.91,Settled
TXN-000000115,AUTH-000000148,CARD-0000130,PRD-00001,2025-10-20 13:40:30,2025-10-21,Purchase,MER-4121-5773,4121,130.05,GBP,2.1738,0.1856,0.1245,127.57,Settled
TXN-000000116,AUTH-000000149,CARD-0000060,PRD-00001,2025-10-20 20:26:56,2025-10-21,Purchase,MER-6051-6516,6051,87.3,GBP,1.0154,0.0711,0.1251,86.09,Settled
TXN-000000117,AUTH-000000150,CARD-0000043,PRD-00001,2025-10-21 17:47:07,2025-10-22,Purchase,MER-5541-2498,5541,32.39,GBP,0.1162,0.0583,0.1035,32.11,Settled
TXN-000000118,AUTH-000000152,CARD-0000109,PRD-00001,2025-10-21 07:48:58,2025-10-21,Purchase,MER-4511-7355,4511,27.58,GBP,0.3519,0.0337,0.0718,27.12,Settled
TXN-000000119,AUTH-000000153,CARD-0000179,PRD-00001,2025-10-21 08:19:16,2025-10-22,Purchase,MER-5964-8191,5964,20.18,GBP,0.129,0.0288,0.0986,19.92,Settled
TXN-000000120,AUTH-000000154,CARD-0000104,PRD-00001,2025-10-22 16:01:53,2025-10-22,Purchase,MER-5541-2498,5541,118.81,GBP,0.9498,0.3281,0.0636,117.47,Settled
TXN-000000121,AUTH-000000156,CARD-0000073,PRD-00001,2025-10-22 09:42:44,2025-10-23,Purchase,MER-5999-6712,5999,39.45,GBP,0.3178,0.0648,0.09,38.98,Settled
TXN-000000122,AUTH-000000157,CARD-0000178,PRD-00001,2025-10-22 23:47:47,2025-10-23,Purchase,MER-5999-6712,5999,69.04,GBP,1.1101,0.0911,0.0232,67.82,Settled
TXN-000000123,AUTH-000000158,CARD-0000015,PRD-00001,2025-10-23 00:41:01,2025-10-25,Purchase,MER-6051-3440,6051,13.96,GBP,0.2205,0.0348,0.035,13.67,Settled
TXN-000000124,AUTH-000000159,CARD-0000017,PRD-00001,2025-10-23 03:58:11,2025-10-23,Purchase,MER-4900-7182,4900,11.55,GBP,0.0593,0.0272,0.1236,11.34,Settled
TXN-000000125,AUTH-000000160,CARD-0000168,PRD-00001,2025-10-23 13:00:04,2025-10-23,Purchase,MER-5734-2587,5734,112.34,GBP,1.2174,0.2008,0.097,110.82,Settled
TXN-000000126,AUTH-000000163,CARD-0000175,PRD-00001,2025-10-24 16:06:45,2025-10-25,Purchase,MER-5734-9156,5734,281.24,GBP,3.1374,0.7051,0.0312,277.37,Settled
TXN-000000127,AUTH-000000165,CARD-0000050,PRD-00001,2025-10-25 13:47:46,2025-10-26,Purchase,MER-7832-7947,7832,80.2,GBP,0.6987,0.0512,0.1187,79.33,Settled
TXN-000000128,AUTH-000000166,CARD-0000095,PRD-00001,2025-10-25 22:52:48,2025-10-27,Purchase,MER-4511-7980,4511,22.79,GBP,0.3708,0.0576,0.1179,22.24,Settled
TXN-000000129,AUTH-000000167,CARD-0000151,PRD-00001,2025-10-25 10:46:27,2025-10-25,Purchase,MER-5411-1932,5411,54.08,GBP,0.4631,0.029,0.0994,53.49,Settled
TXN-000000130,AUTH-000000168,CARD-0000088,PRD-00001,2025-10-25 17:29:06,2025-10-25,Purchase,MER-5541-8568,5541,220.11,GBP,3.1675,0.5448,0.0317,216.37,Settled
TXN-000000131,AUTH-000000169,CARD-0000044,PRD-00001,2025-10-25 06:02:07,2025-10-27,Purchase,MER-5311-2389,5311,83.29,GBP,0.5094,0.1825,0.0597,82.54,Settled
TXN-000000132,AUTH-000000171,CARD-0000014,PRD-00001,2025-10-26 02:39:56,2025-10-28,Purchase,MER-5964-1976,5964,102.28,GBP,0.7097,0.306,0.1435,101.12,Settled
TXN-000000133,AUTH-000000172,CARD-0000121,PRD-00001,2025-10-26 05:05:13,2025-10-27,Reversal,MER-7832-9582,7832,82.13,GBP,1.0141,0.1762,0.1024,80.84,Reversed
TXN-000000134,AUTH-000000173,CARD-0000038,PRD-00001,2025-10-27 19:12:02,2025-10-28,Purchase,MER-8220-1093,8220,3.27,GBP,0.0193,0.0058,0.1131,3.13,Settled
TXN-000000135,AUTH-000000174,CARD-0000174,PRD-00001,2025-10-27 04:28:07,2025-10-27,Purchase,MER-5964-8191,5964,40.58,GBP,0.4485,0.1202,0.145,39.87,Settled
TXN-000000136,AUTH-000000175,CARD-0000004,PRD-00001,2025-10-27 13:34:28,2025-10-27,Purchase,MER-5200-5853,5200,666.73,GBP,11.5098,1.8658,0.1119,653.24,Settled
TXN-000000137,AUTH-000000176,CARD-0000159,PRD-00001,2025-10-29 12:12:14,2025-10-29,Purchase,MER-5200-4423,5200,57.22,GBP,0.5224,0.1486,0.0898,56.46,Settled
TXN-000000138,AUTH-000000177,CARD-0000060,PRD-00001,2025-10-29 02:50:58,2025-10-29,Purchase,MER-4814-5844,4814,44.35,GBP,0.7144,0.0482,0.0665,43.52,Settled
