card_id,product_id,cardholder_ref,card_type,issue_date,activation_date,expiry_date,card_status
CARD-0000044,PRD-00001,CH-0F1259E0,Virtual,2025-08-09,2025-08-13,2028-08-09,Blocked
CARD-0000045,PRD-00001,CH-080AADFB,Virtual,2025-08-16,2025-08-16,2030-08-16,Active
CARD-0000046,PRD-00001,CH-839FBC50,Virtual,2025-08-23,2025-08-25,2029-08-23,Active
CARD-0000047,PRD-00001,CH-7C441FE7,Physical,2025-08-18,2025-08-21,2028-08-18,Active
CARD-0000048,PRD-00001,CH-B92DA22B,Physical,2025-08-23,2025-08-26,2028-08-23,Active
CARD-0000049,PRD-00001,CH-93829B43,Virtual,2025-08-14,2025-08-14,2029-08-14,Active
CARD-0000050,PRD-00001,CH-7914C120,Physical,2025-08-07,2025-08-11,2029-08-07,Active
CARD-0000051,PRD-00001,CH-1825BC54,Virtual,2025-08-13,2025-08-15,2029-08-13,Active
CARD-0000052,PRD-00001,CH-5AB33EDF,Virtual,2025-08-25,2025-08-29,2029-08-25,Blocked
CARD-0000053,PRD-00001,CH-DD2467AC,Physical,2025-08-24,2025-08-27,2030-08-24,Active
CARD-0000054,PRD-00001,CH-A748DBCF,Physical,2025-08-08,2025-08-11,2029-08-08,Active
CARD-0000055,PRD-00001,CH-0F844FEF,Virtual,2025-08-11,2025-08-16,2030-08-11,Active
CARD-0000056,PRD-00001,CH-CCF3A171,Physical,2025-08-06,2025-08-09,2029-08-06,Expired
CARD-0000057,PRD-00001,CH-310C0C00,Physical,2025-08-19,2025-08-24,2030-08-19,Active
CARD-0000058,PRD-00001,CH-23E2FCB4,Physical,2025-08-14,2025-08-14,2028-08-14,Blocked
CARD-0000059,PRD-00001,CH-766ECB15,Virtual,2025-08-09,2025-08-11,2029-08-09,Active
CARD-0000060,PRD-00001,CH-134C6C92,Virtual,2025-08-11,2025-08-13,2029-08-11,Active
CARD-0000061,PRD-00001,CH-DB20A56E,Physical,2025-08-27,2025-08-29,2028-08-27,Active
CARD-0000062,PRD-00001,CH-A6F2F7B8,Physical,2025-08-08,2025-08-08,2030-08-08,Active
CARD-0000063,PRD-00001,CH-03C72BA8,Physical,2025-08-08,2025-08-09,2028-08-08,Blocked
CARD-0000064,PRD-00001,CH-C0E9AB30,Physical,2025-08-05,2025-08-08,2029-08-05,Active
CARD-0000065,PRD-00001,CH-680AC07A,Physical,2025-08-23,2025-08-27,2029-08-23,Active
CARD-0000066,PRD-00001,CH-DD59BA71,Physical,2025-08-20,2025-08-22,2030-08-20,Active
CARD-0000067,PRD-00001,CH-2A25A888,Virtual,2025-09-04,2025-09-08,2030-09-04,Active
CARD-0000068,PRD-00001,CH-63F2AE24,Physical,2025-09-22,2025-09-22,2029-09-22,Active
CARD-0000069,PRD-00001,CH-C8FE3CCD,Physical,2025-09-19,2025-09-19,2030-09-19,Blocked
CARD-0000070,PRD-00001,CH-B253D218,Physical,2025-09-23,2025-09-27,2029-09-23,Blocked
CARD-0000071,PRD-00001,CH-C88A618E,Virtual,2025-09-26,2025-10-01,2028-09-26,Active
CARD-0000072,PRD-00001,CH-7C967F79,Virtual,2025-09-12,2025-09-12,2028-09-12,Active
CARD-0000073,PRD-00001,CH-37BB3EEC,Physical,2025-09-28,2025-10-01,2029-09-28,Blocked
CARD-0000074,PRD-00001,CH-BC594585,Virtual,2025-09-12,2025-09-17,2030-09-12,Expired
CARD-0000075,PRD-00001,CH-504867BA,Virtual,2025-09-05,2025-09-09,2029-09-05,Active
CARD-0000076,PRD-00001,CH-7A0ECFEA,Virtual,2025-09-26,2025-09-29,2030-09-26,Active
CARD-0000077,PRD-00001,CH-87F7E1FB,Virtual,2025-09-27,2025-09-28,2030-09-27,Active
CARD-0000078,PRD-00001,CH-82010C62,Virtual,2025-09-27,2025-09-28,2028-09-27,Active
CARD-0000079,PRD-00001,CH-118A9D29,Virtual,2025-09-25,2025-09-27,2029-09-25,Active
CARD-0000080,PRD-00001,CH-DCA02EEC,Physical,2025-09-01,2025-09-04,2029-09-01,Blocked
CARD-0000081,PRD-00001,CH-F10C718B,Virtual,2025-09-07,2025-09-09,2029-09-07,Active
CARD-0000082,PRD-00001,CH-94340A03,Physical,2025-09-20,2025-09-24,2030-09-20,Expired
CARD-0000083,PRD-00001,CH-14FCDD54,Virtual,2025-09-07,2025-09-10,2028-09-07,Active
CARD-0000084,PRD-00001,CH-90B2B633,Virtual,2025-09-18,2025-09-21,2028-09-18,Active
CARD-0000085,PRD-00001,CH-42C18A62,Physical,2025-09-26,2025-09-29,2028-09-26,Active
CARD-0000086,PRD-00001,CH-506E5A9A,Virtual,2025-09-23,2025-09-26,2028-09-23,Active
CARD-0000087,PRD-00001,CH-21813D25,Virtual,2025-09-18,2025-09-20,2030-09-18,Active
CARD-0000088,PRD-00001,CH-750CAB75,Virtual,2025-09-23,2025-09-24,2029-09-23,Active
CARD-0000089,PRD-00001,CH-EF8C485B,Physical,2025-09-04,2025-09-09,2030-09-04,Active
CARD-0000090,PRD-00001,CH-9F044AED,Physical,2025-09-18,2025-09-23,2030-09-18,Active
CARD-0000091,PRD-00001,CH-19985F15,Virtual,2025-09-16,2025-09-16,2029-09-16,Active
CARD-0000092,PRD-00001,CH-8181A8CC,Virtual,2025-09-27,2025-09-28,2028-09-27,Active
CARD-0000093,PRD-00001,CH-5958A499,Physical,2025-09-10,2025-09-12,2028-09-10,Active
CARD-0000094,PRD-00001,CH-3E896C64,Physical,2025-09-02,2025-09-07,2028-09-02,Active
CARD-0000095,PRD-00001,CH-702CDD20,Physical,2025-09-28,2025-10-02,2029-09-28,Active
CARD-0000096,PRD-00001,CH-4D71C366,Virtual,2025-09-10,2025-09-11,2029-09-10,Active
CARD-0000097,PRD-00001,CH-CE9E1A11,Virtual,2025-09-02,2025-09-02,2029-09-02,Closed
CARD-0000098,PRD-00001,CH-AAF91531,Physical,2025-09-27,2025-10-01,2028-09-27,Active
CARD-0000099,PRD-00001,CH-EE87905E,Physical,2025-09-21,2025-09-25,2030-09-21,Active
CARD-0000100,PRD-00001,CH-E0CCEDC5,Physical,2025-09-10,2025-09-14,2028-09-10,Closed
CARD-0000101,PRD-00001,CH-E3C43657,Physical,2025-09-25,2025-09-29,2029-09-25,Active
CARD-0000102,PRD-00001,CH-27CB6F2A,Virtual,2025-09-13,2025-09-17,2029-09-13,Expired
CARD-0000103,PRD-00001,CH-35EBD32D,Physical,2025-09-14,2025-09-18,2029-09-14,Active
CARD-0000104,PRD-00001,CH-AFFFCFD2,Physical,2025-09-24,2025-09-29,2028-09-24,Closed
CARD-0000105,PRD-00001,CH-81627CF1,Physical,2025-09-07,2025-09-08,2029-09-07,Active
CARD-0000106,PRD-00001,CH-E87D1C78,Physical,2025-09-06,2025-09-09,2030-09-06,Active
CARD-0000107,PRD-00001,CH-A2607723,Virtual,2025-09-15,2025-09-15,2030-09-15,Active
CARD-0000108,PRD-00001,CH-0B49452D,Virtual,2025-09-08,2025-09-08,2029-09-08,Active
CARD-0000109,PRD-00001,CH-217D65A0,Physical,2025-09-22,2025-09-25,2028-09-22,Expired
CARD-0000110,PRD-00001,CH-295D6FBF,Physical,2025-09-04,2025-09-06,2030-09-04,Active
CARD-0000111,PRD-00001,CH-B4A69F3C,Physical,2025-09-27,2025-09-29,2028-09-27,Active
CARD-0000112,PRD-00001,CH-1CA3C448,Virtual,2025-09-20,2025-09-23,2030-09-20,Blocked
CARD-0000113,PRD-00001,CH-B0E6A969,Virtual,2025-09-04,2025-09-06,2029-09-04,Active
CARD-0000114,PRD-00001,CH-093923DE,Physical,2025-09-17,2025-09-21,2030-09-17,Active
CARD-0000115,PRD-00001,CH-8D7248E2,Virtual,2025-09-02,2025-09-02,2029-09-02,Active
CARD-0000116,PRD-00001,CH-0AB54BDE,Physical,2025-09-03,2025-09-08,2028-09-03,Closed
CARD-0000117,PRD-00001,CH-EEDEDB07,Physical,2025-09-27,2025-09-30,2029-09-27,Active
CARD-0000118,PRD-00001,CH-0A368CE7,Virtual,2025-09-17,2025-09-18,2030-09-17,Active
CARD-0000119,PRD-00001,CH-AE9BEC36,Virtual,2025-09-19,2025-09-19,2029-09-19,Active
CARD-0000120,PRD-00001,CH-5A8AAECA,Virtual,2025-09-16,2025-09-21,2029-09-16,Active
CARD-0000121,PRD-00001,CH-DFED2C43,Virtual,2025-09-04,2025-09-06,2028-09-04,Active
CARD-0000122,PRD-00001,CH-BFDDC3D9,Physical,2025-09-22,2025-09-25,2029-09-22,Active
CARD-0000123,PRD-00001,CH-3C9AD14C,Physical,2025-09-03,2025-09-06,2029-09-03,Active
CARD-0000124,PRD-00001,CH-CCC56569,Physical,2025-09-28,2025-10-03,2030-09-28,Blocked
CARD-0000125,PRD-00001,CH-698C206F,Physical,2025-09-28,2025-09-29,2030-09-28,Active
CARD-0000126,PRD-00001,CH-ECAB3301,Virtual,2025-10-17,2025-10-22,2029-10-17,Active
CARD-0000127,PRD-00001,CH-696608AA,Physical,2025-10-15,2025-10-17,2028-10-15,Active
CARD-0000128,PRD-00001,CH-BC2CBB0D,Physical,2025-10-15,2025-10-20,2030-10-15,Active
CARD-0000129,PRD-00001,CH-28C13091,Virtual,2025-10-20,2025-10-24,2028-10-20,Active
CARD-0000130,PRD-00001,CH-61EE411A,Physical,2025-10-01,2025-10-01,2030-10-01,Active
CARD-0000131,PRD-00001,CH-787F2425,Physical,2025-10-15,2025-10-18,2028-10-15,Active
CARD-0000132,PRD-00001,CH-EB1FA9F2,Virtual,2025-10-23,2025-10-26,2029-10-23,Active
CARD-0000133,PRD-00001,CH-D20EAC17,Physical,2025-10-27,2025-10-30,2029-10-27,Closed
CARD-0000134,PRD-00001,CH-39118497,Physical,2025-10-18,2025-10-18,2028-10-18,Active
CARD-0000135,PRD-00001,CH-6601DDD0,Virtual,2025-10-09,2025-10-09,2029-10-09,Active
CARD-0000136,PRD-00001,CH-11C58EF0,Virtual,2025-10-10,2025-10-11,2030-10-10,Active
CARD-0000137,PRD-00001,CH-59E4B671,Virtual,2025-10-15,2025-10-19,2030-10-15,Active
CARD-0000138,PRD-00001,CH-ADF4E62D,Virtual,2025-10-25,2025-10-26,2030-10-25,Active
CARD-0000139,PRD-00001,CH-54C63CD8,Physical,2025-10-23,2025-10-26,2028-10-23,Active
CARD-0000140,PRD-00001,CH-E08596DB,Virtual,2025-10-02,2025-10-05,2029-10-02,Active
CARD-0000141,PRD-00001,CH-94A1875D,Virtual,2025-10-22,2025-10-22,2030-10-22,Closed
CARD-0000142,PRD-00001,CH-09CB3942,Virtual,2025-10-05,2025-10-05,2030-10-05,Closed
CARD-0000143,PRD-00001,CH-587EF344,Virtual,2025-10-28,2025-10-28,2029-10-28,Active
CARD-0000144,PRD-00001,CH-6FB78271,Physical,2025-10-24,2025-10-24,2028-10-24,Active
CARD-0000145,PRD-00001,CH-1D9AF659,Virtual,2025-10-16,2025-10-21,2029-10-16,Active
CARD-0000146,PRD-00001,CH-30A900AD,Virtual,2025-10-03,2025-10-05,2029-10-03,Blocked
CARD-0000147,PRD-00001,CH-6FA17735,Virtual,2025-10-21,2025-10-25,2030-10-21,Expired
CARD-0000148,PRD-00001,CH-CE777F00,Virtual,2025-10-02,2025-10-03,2030-10-02,Active
CARD-0000149,PRD-00001,CH-F0B5156B,Physical,2025-10-24,2025-10-29,2028-10-24,Active
CARD-0000150,PRD-00001,CH-3270E4FA,Virtual,2025-10-23,2025-10-23,2028-10-23,Active
CARD-0000151,PRD-00001,CH-F2E9702D,Virtual,2025-10-02,2025-10-04,2029-10-02,Active
CARD-0000152,PRD-00001,CH-9F871CE7,Virtual,2025-10-12,2025-10-16,2029-10-12,Active
CARD-0000153,PRD-00001,CH-1FE771D6,Physical,2025-10-22,2025-10-26,2028-10-22,Active
CARD-0000154,PRD-00001,CH-81D2C7DE,Physical,2025-10-28,2025-10-31,2029-10-28,Active
CARD-0000155,PRD-00001,CH-5380B904,Virtual,2025-10-19,2025-10-22,2028-10-19,Active
CARD-0000156,PRD-00001,CH-8DEDF9FB,Virtual,2025-10-09,2025-10-11,2030-10-09,Active
CARD-0000157,PRD-00001,CH-AA38D0A1,Virtual,2025-10-22,2025-10-24,2030-10-22,Active
CARD-0000158,PRD-00001,CH-BF85BF0E,Virtual,2025-10-19,2025-10-24,2029-10-19,Active
CARD-0000159,PRD-00001,CH-91B0E1D9,Physical,2025-10-09,2025-10-12,2029-10-09,Blocked
CARD-0000160,PRD-00001,CH-D56F0350,Virtual,2025-10-28,2025-11-01,2029-10-28,Active
CARD-0000161,PRD-00001,CH-35CE8841,Virtual,2025-10-12,2025-10-12,2030-10-12,Active
CARD-0000162,PRD-00001,CH-9B4E2C24,Physical,2025-10-27,2025-10-31,2030-10-27,Active
CARD-0000163,PRD-00001,CH-7118E364,Physical,2025-10-28,2025-11-01,2030-10-28,Active
CARD-0000164,PRD-00001,CH-82DC4C8E,Virtual,2025-10-24,2025-10-25,2029-10-24,Blocked
CARD-0000165,PRD-00001,CH-F5B78CC7,Physical,2025-10-20,2025-10-24,2029-10-20,Active
CARD-0000166,PRD-00001,CH-A8AA7158,Physical,2025-10-09,2025-10-14,2030-10-09,Active
CARD-0000167,PRD-00001,CH-A9F25336,Virtual,2025-10-04,2025-10-07,2030-10-04,Active
CARD-0000168,PRD-00001,CH-17E8392A,Physical,2025-10-02,2025-10-02,2030-10-02,Active
CARD-0000169,PRD-00001,CH-3C20592F,Physical,2025-10-10,2025-10-11,2029-10-10,Active
CARD-0000170,PRD-00001,CH-CE7AE7F6,Virtual,2025-10-05,2025-10-09,2030-10-05,Blocked
CARD-0000171,PRD-00001,CH-0BD4A990,Virtual,2025-10-17,2025-10-20,2029-10-17,Blocked
CARD-0000172,PRD-00001,CH-9C7C7377,Virtual,2025-10-26,2025-10-26,2029-10-26,Active
CARD-0000173,PRD-00001,CH-74962764,Physical,2025-10-15,2025-10-20,2028-10-15,Active
CARD-0000174,PRD-00001,CH-935F2B0A,Virtual,2025-10-24,2025-10-24,2030-10-24,Closed
CARD-0000175,PRD-00001,CH-624C69B6,Physical,2025-10-26,2025-10-29,2029-10-26,Active
CARD-0000176,PRD-00001,CH-25C73C44,Virtual,2025-10-12,2025-10-16,2030-10-12,Active
CARD-0000177,PRD-00001,CH-E4855AA1,Physical,2025-10-13,2025-10-18,2030-10-13,Closed
CARD-0000178,PRD-00001,CH-E2ADD909,Virtual,2025-10-08,2025-10-12,2029-10-08,Active
CARD-0000179,PRD-00001,CH-3805F907,Virtual,2025-10-08,2025-10-13,2030-10-08,Active
CARD-0000180,PRD-00001,CH-B227462C,Physical,2025-10-10,2025-10-10,2030-10-10,Active
CARD-0000181,PRD-00001,CH-8EB22579,Physical,2025-10-02,2025-10-02,2029-10-02,Closed
CARD-0000182,PRD-00001,CH-1F115B76,Virtual,2025-10-08,2025-10-10,2030-10-08,Active
CARD-0000183,PRD-00001,CH-76F2DBFE,Virtual,2025-10-22,2025-10-26,2030-10-22,Active
CARD-0000184,PRD-00001,CH-8F15BA58,Virtual,2025-10-24,2025-10-29,2030-10-24,Active
CARD-0000185,PRD-00001,CH-C1581092,Virtual,2025-11-04,2025-11-04,2029-11-04,Active
CARD-0000186,PRD-00001,CH-D0A44432,Virtual,2025-11-23,2025-11-24,2029-11-23,Active
CARD-0000187,PRD-00001,CH-6D3EE1DC,Virtual,2025-11-28,2025-12-02,2029-11-28,Active
CARD-0000188,PRD-00001,CH-722764E6,Virtual,2025-11-21,2025-11-22,2029-11-21,Active
CARD-0000189,PRD-00001,CH-DC8AEE30,Physical,2025-11-04,2025-11-09,2029-11-04,Active
CARD-0000190,PRD-00001,CH-C074718E,Physical,2025-11-21,2025-11-23,2030-11-21,Closed
CARD-0000191,PRD-00001,CH-46FDE062,Physical,2025-11-08,2025-11-08,2028-11-08,Active
CARD-0000192,PRD-00001,CH-7C0E8CD8,Physical,2025-11-27,2025-11-28,2030-11-27,Active
CARD-0000193,PRD-00001,CH-709B7D97,Physical,2025-11-11,2025-11-13,2028-11-11,Active
CARD-0000194,PRD-00001,CH-3C07C574,Virtual,2025-11-28,2025-11-29,2028-11-28,Closed
CARD-0000195,PRD-00001,CH-E49D681D,Physical,2025-11-04,2025-11-04,2030-11-04,Blocked
CARD-0000196,PRD-00001,CH-269CD696,Physical,2025-11-12,2025-11-13,2028-11-12,Active
CARD-0000197,PRD-00001,CH-271E3EE2,Virtual,2025-11-09,2025-11-13,2028-11-09,Active
CARD-0000198,PRD-00001,CH-6A34C854,Virtual,2025-11-04,2025-11-06,2030-11-04,Active
CARD-0000199,PRD-00001,CH-7746D0BA,Physical,2025-11-17,2025-11-21,2030-11-17,Active
CARD-0000200,PRD-00001,CH-D5385B0E,Virtual,2025-11-02,2025-11-05,2030-11-02,Active
CARD-0000201,PRD-00001,CH-C51155FF,Virtual,2025-11-21,2025-11-24,2028-11-21,Active
CARD-0000202,PRD-00001,CH-05000BC6,Virtual,2025-11-14,2025-11-14,2030-11-14,Active
CARD-0000203,PRD-00001,CH-9360715F,Physical,2025-11-03,2025-11-04,2029-11-03,Active
CARD-0000204,PRD-00001,CH-F1578470,Virtual,2025-11-09,2025-11-12,2030-11-09,Active
CARD-0000205,PRD-00001,CH-63D62A39,Virtual,2025-11-20,2025-11-20,2030-11-20,Active
CARD-0000206,PRD-00001,CH-D5F25073,Physical,2025-11-26,2025-11-29,2030-11-26,Active
CARD-0000207,PRD-00001,CH-BC10FA52,Virtual,2025-11-15,2025-11-18,2028-11-15,Active
CARD-0000208,PRD-00001,CH-E5D6F6E6,Virtual,2025-11-14,2025-11-16,2030-11-14,Active
CARD-0000209,PRD-00001,CH-45DF16B6,Physical,2025-11-22,2025-11-27,2029-11-22,Active
CARD-0000210,PRD-00001,CH-638C254C,Physical,2025-11-16,2025-11-16,2028-11-16,Active
CARD-0000211,PRD-00001,CH-CC530E36,Virtual,2025-11-14,2025-11-15,2028-11-14,Active
CARD-0000212,PRD-00001,CH-D72B6108,Virtual,2025-11-18,2025-11-23,2028-11-18,Active
CARD-0000213,PRD-00001,CH-FB10987F,Virtual,2025-11-04,2025-11-09,2029-11-04,Active
CARD-0000214,PRD-00001,CH-E82C7D7B,Virtual,2025-11-02,2025-11-02,2029-11-02,Active
CARD-0000215,PRD-00001,CH-A9BA5A27,Virtual,2025-11-19,2025-11-20,2030-11-19,Active
CARD-0000216,PRD-00001,CH-6DB99102,Virtual,2025-11-28,2025-11-28,2028-11-28,Active
CARD-0000217,PRD-00001,CH-2E85CB21,Virtual,2025-11-25,2025-11-29,2029-11-25,Active
CARD-0000218,PRD-00001,CH-53CD6268,Physical,2025-11-25,2025-11-29,2030-11-25,Active
CARD-0000219,PRD-00001,CH-56666F9F,Physical,2025-11-22,2025-11-24,2030-11-22,Active
CARD-0000220,PRD-00001,CH-473BD358,Virtual,2025-11-23,2025-11-23,2029-11-23,Expired
CARD-0000221,PRD-00001,CH-6BEBAC31,Virtual,2025-11-06,2025-11-06,2028-11-06,Active
CARD-0000222,PRD-00001,CH-78660765,Physical,2025-11-05,2025-11-05,2030-11-05,Active
CARD-0000223,PRD-00001,CH-0D557B61,Virtual,2025-11-24,2025-11-27,2030-11-24,Active
CARD-0000224,PRD-00001,CH-39669FA7,Virtual,2025-11-11,2025-11-15,2028-11-11,Active
CARD-0000225,PRD-00001,CH-F510AB53,Physical,2025-11-20,2025-11-21,2028-11-20,Expired
CARD-0000226,PRD-00001,CH-07F194F9,Physical,2025-11-25,2025-11-27,2030-11-25,Active
CARD-0000227,PRD-00001,CH-D6D7B3B8,Virtual,2025-11-15,2025-11-18,2030-11-15,Active
CARD-0000228,PRD-00001,CH-3D114802,Physical,2025-11-09,2025-11-11,2028-11-09,Active
CARD-0000229,PRD-00001,CH-1D48A071,Virtual,2025-11-14,2025-11-18,2028-11-14,Active
CARD-0000230,PRD-00001,CH-770C7798,Virtual,2025-11-22,2025-11-26,2029-11-22,Active
CARD-0000231,PRD-00001,CH-5E6FEA07,Physical,2025-11-02,2025-11-03,2028-11-02,Active
CARD-0000232,PRD-00001,CH-F6B751F7,Physical,2025-11-25,2025-11-25,2029-11-25,Active
CARD-0000233,PRD-00001,CH-C71D5E60,Physical,2025-11-16,2025-11-19,2030-11-16,Active
CARD-0000234,PRD-00001,CH-4FA03F26,Virtual,2025-11-18,2025-11-18,2030-11-18,Active
CARD-0000235,PRD-00001,CH-EDCB8CB6,Physical,2025-11-13,2025-11-16,2030-11-13,Active
CARD-0000236,PRD-00001,CH-E87466D7,Virtual,2025-11-03,2025-11-08,2029-11-03,Active
CARD-0000237,PRD-00001,CH-F1043785,Virtual,2025-11-21,2025-11-21,2029-11-21,Active
CARD-0000238,PRD-00001,CH-9793B9B4,Virtual,2025-11-11,2025-11-16,2028-11-11,Active
CARD-0000239,PRD-00001,CH-3E2B6091,Physical,2025-11-12,2025-11-13,2028-11-12,Active
CARD-0000240,PRD-00001,CH-4D3485C5,Physical,2025-11-14,2025-11-17,2030-11-14,Active
CARD-0000241,PRD-00001,CH-CE3714AF,Physical,2025-11-28,2025-11-30,2029-11-28,Active
CARD-0000242,PRD-00001,CH-90E0F4A0,Physical,2025-12-25,2025-12-29,2028-12-25,Active
CARD-0000243,PRD-00001,CH-8861FE18,Virtual,2025-12-17,2025-12-19,2028-12-17,Expired
CARD-0000244,PRD-00001,CH-11A72609,Physical,2025-12-24,2025-12-24,2030-12-24,Active
CARD-0000245,PRD-00001,CH-033D2BCE,Physical,2025-12-05,2025-12-10,2029-12-05,Active
CARD-0000246,PRD-00001,CH-7D7DDBED,Virtual,2025-12-03,2025-12-06,2028-12-03,Closed
CARD-0000247,PRD-00001,CH-5CB85AED,Virtual,2025-12-25,2025-12-30,2030-12-25,Active
CARD-0000248,PRD-00001,CH-75B17A55,Virtual,2025-12-19,2025-12-24,2030-12-19,Active
CARD-0000249,PRD-00001,CH-2D174FC9,Virtual,2025-12-11,2025-12-14,2028-12-11,Active
CARD-0000250,PRD-00001,CH-A6846099,Physical,2025-12-21,2025-12-23,2029-12-21,Active
CARD-0000251,PRD-00001,CH-EB6C1016,Virtual,2025-12-17,2025-12-17,2028-12-17,Active
CARD-0000252,PRD-00001,CH-7701F7BB,Physical,2025-12-02,2025-12-07,2029-12-02,Blocked
CARD-0000253,PRD-00001,CH-97AC6AA8,Virtual,2025-12-28,2025-12-31,2028-12-28,Active
CARD-0000254,PRD-00001,CH-3ED8C56C,Physical,2025-12-19,2025-12-22,2030-12-19,Closed
CARD-0000255,PRD-00001,CH-4767D76C,Virtual,2025-12-26,2025-12-30,2030-12-26,Active
CARD-0000256,PRD-00001,CH-C01F36BF,Physical,2025-12-16,2025-12-19,2030-12-16,Active
CARD-0000257,PRD-00001,CH-AB0E664E,Physical,2025-12-04,2025-12-08,2029-12-04,Closed
CARD-0000258,PRD-00001,CH-7E8ADEE7,Virtual,2025-12-21,2025-12-24,2028-12-21,Active
CARD-0000259,PRD-00001,CH-7CD0129D,Virtual,2025-12-17,2025-12-19,2030-12-17,Active
CARD-0000260,PRD-00001,CH-4223623B,Virtual,2025-12-10,2025-12-15,2029-12-10,Active
